carrierID;carrierFleetSize;vehicleType;vehicle_IdstartLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep21_carrier;1;cepVehicleType0;21_v0;3434;x=4597544,5:y=5815791,0;3367;x=4597067,25:y=5817389,25;11151,0;11441,0;1934,6239042759003;290,0;
cep21_carrier;1;cepVehicleType0;21_v0;3367;x=4597067,25:y=5817389,25;3499;x=4597572,5:y=5817759,5;11561,0;11671,0;737,1796540650942;110,0;
cep21_carrier;1;cepVehicleType0;21_v0;3499;x=4597572,5:y=5817759,5;5032;x=4597884,25:y=5816877,25;11791,0;11893,0;685,9489108067103;102,0;
cep21_carrier;1;cepVehicleType0;21_v0;5032;x=4597884,25:y=5816877,25;5029;x=4598426,0:y=5816231,0;12013,0;12078,0;437,0;65,0;
cep21_carrier;1;cepVehicleType0;21_v0;5029;x=4598426,0:y=5816231,0;28050;x=4600883,0:y=5816046,75;12198,0;12587,0;2598,6449992382786;389,0;
cep21_carrier;1;cepVehicleType0;21_v0;28050;x=4600883,0:y=5816046,75;28054;x=4601037,5:y=5815578,25;12707,0;12790,0;557,0344915216214;83,0;
cep21_carrier;1;cepVehicleType0;21_v0;28054;x=4601037,5:y=5815578,25;5721;x=4602969,0:y=5816165,25;12910,0;13301,0;2608,2573764324106;391,0;
cep21_carrier;1;cepVehicleType0;21_v0;5721;x=4602969,0:y=5816165,25;4923;x=4599963,75:y=5815454,25;13421,0;13966,0;3634,4003891035854;545,0;
cep21_carrier;1;cepVehicleType0;21_v0;4923;x=4599963,75:y=5815454,25;5079;x=4599139,5:y=5816042,75;14086,0;14160,0;497,0;74,0;
cep1_carrier;1;cepVehicleType0;1_v0;1564;x=4586121,75:y=5822785,0;403;x=4584171,0:y=5822191,5;10800,0;11556,0;5043,389912417396;756,0;
cep1_carrier;1;cepVehicleType0;1_v0;403;x=4584171,0:y=5822191,5;351;x=4583327,25:y=5820242,0;11676,0;12297,0;4145,0;621,0;
cep1_carrier;1;cepVehicleType0;1_v0;351;x=4583327,25:y=5820242,0;187;x=4580382,5:y=5820567,0;12417,0;13014,0;3984,0513375881437;597,0;
cep1_carrier;1;cepVehicleType0;1_v0;187;x=4580382,5:y=5820567,0;207;x=4580219,5:y=5822360,5;13134,0;13431,0;1985,0;297,0;
cep1_carrier;1;cepVehicleType0;1_v0;207;x=4580219,5:y=5822360,5;441;x=4578904,5:y=5824419,5;13551,0;13966,0;2770,185643438459;415,0;
cep1_carrier;1;cepVehicleType0;1_v0;441;x=4578904,5:y=5824419,5;432;x=4578746,0:y=5824987,5;14086,0;14086,0;0,0;0,0;
cep1_carrier;1;cepVehicleType0;1_v0;432;x=4578746,0:y=5824987,5;432;x=4578746,0:y=5824987,5;14206,0;14206,0;0,0;0,0;
cep1_carrier;1;cepVehicleType0;1_v0;432;x=4578746,0:y=5824987,5;6594;x=4580706,25:y=5824847,25;14326,0;14787,0;3074,9968326466997;461,0;
cep1_carrier;1;cepVehicleType0;1_v0;6594;x=4580706,25:y=5824847,25;6596;x=4581210,0:y=5824555,0;14907,0;15052,0;969,0550372817922;145,0;
cep1_carrier;1;cepVehicleType0;1_v0;6596;x=4581210,0:y=5824555,0;467;x=4582043,75:y=5825938,0;15172,0;15452,0;1868,140264587042;280,0;
cep1_carrier;1;cepVehicleType0;1_v0;467;x=4582043,75:y=5825938,0;469;x=4582078,0:y=5826292,0;15572,0;15572,0;0,0;0,0;
cep1_carrier;1;cepVehicleType0;1_v0;469;x=4582078,0:y=5826292,0;6572;x=4581678,0:y=5826347,5;15692,0;15692,0;0,0;0,0;
cep1_carrier;1;cepVehicleType0;1_v0;6572;x=4581678,0:y=5826347,5;333;x=4581702,5:y=5824375,5;15812,0;16135,0;2158,140264587042;323,0;
cep1_carrier;1;cepVehicleType0;1_v0;333;x=4581702,5:y=5824375,5;334;x=4581702,5:y=5824375,5;16255,0;16255,0;0,0;0,0;
cep1_carrier;1;cepVehicleType0;1_v0;334;x=4581702,5:y=5824375,5;1564;x=4586121,75:y=5822785,0;16375,0;17169,0;5298,7783446242875;794,0;
cep18_carrier;1;cepVehicleType0;18_v0;2851;x=4597104,75:y=5814199,5;3348;x=4596887,5:y=5815651,5;10800,0;11152,0;2347,907254055523;352,0;
cep18_carrier;1;cepVehicleType0;18_v0;3348;x=4596887,5:y=5815651,5;3359;x=4597134,5:y=5815949,0;11272,0;11349,0;514,0226405422752;77,0;
cep18_carrier;1;cepVehicleType0;18_v0;3359;x=4597134,5:y=5815949,0;4829;x=4598121,0:y=5813620,25;11469,0;11841,0;2484,432673162513;372,0;
cep18_carrier;1;cepVehicleType0;18_v0;4829;x=4598121,0:y=5813620,25;4843;x=4599228,5:y=5812116,5;11961,0;12335,0;2497,181119446228;374,0;
cep18_carrier;1;cepVehicleType0;18_v0;4843;x=4599228,5:y=5812116,5;4819;x=4598432,25:y=5812512,0;12455,0;12543,0;591,0;88,0;
cep18_carrier;1;cepVehicleType0;18_v0;4819;x=4598432,25:y=5812512,0;2851;x=4597104,75:y=5814199,5;12663,0;13118,0;3035,1413318052814;455,0;
cep24_carrier;1;cepVehicleType0;24_v0;5711;x=4602766,5:y=5825316,75;28145;x=4603091,0:y=5825477,0;10800,0;10800,0;0,0;0,0;
cep24_carrier;1;cepVehicleType0;24_v0;28145;x=4603091,0:y=5825477,0;7115;x=4606333,75:y=5827713,75;10920,0;11601,0;4543,383684689918;681,0;
cep24_carrier;1;cepVehicleType0;24_v0;7115;x=4606333,75:y=5827713,75;5673;x=4601807,75:y=5824904,0;11721,0;12629,0;6058,250353893893;908,0;
