carrierID;carrierFleetSize;vehicleType;vehicle_Id;startLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep18_carrier;1;cepVehicleType0;18_v0;3359;x=4597134,5:y=5815949,0;4829;x=4598121,0:y=5813620,25;11469;11841;2484,432673;372;
cep18_carrier;1;cepVehicleType0;18_v0;4829;x=4598121,0:y=5813620,25;4843;x=4599228,5:y=5812116,5;11961;12335;2497,181119;374;
cep18_carrier;1;cepVehicleType0;18_v0;4843;x=4599228,5:y=5812116,5;4819;x=4598432,25:y=5812512,0;12455;12543;591;88;
cep18_carrier;1;cepVehicleType0;18_v0;4819;x=4598432,25:y=5812512,0;2851;x=4597104,75:y=5814199,5;12663;13118;3035,141332;455;
cep24_carrier;1;cepVehicleType0;24_v0;5711;x=4602766,5:y=5825316,75;28145;x=4603091,0:y=5825477,0;10800;10800;0;0;
cep24_carrier;1;cepVehicleType0;24_v0;28145;x=4603091,0:y=5825477,0;7115;x=4606333,75:y=5827713,75;10920;11601;4543,383685;681;
cep24_carrier;1;cepVehicleType0;24_v0;7115;x=4606333,75:y=5827713,75;5673;x=4601807,75:y=5824904,0;11721;12629;6058,250354;908;
cep24_carrier;1;cepVehicleType0;24_v0;5673;x=4601807,75:y=5824904,0;5711;x=4602766,5:y=5825316,75;12749;12864;768,0481779;115;
cep0_carrier;2;cepVehicleType0;0_v1;21887;x=4581188,25:y=5809042,5;28;x=4578662,0:y=5810158,0;10800;11388;5191,114888;588;
cep0_carrier;2;cepVehicleType0;0_v1;28;x=4578662,0:y=5810158,0;7;x=4576964,5:y=5809802,0;11508;11794;1908;286;
cep0_carrier;2;cepVehicleType0;0_v1;7;x=4576964,5:y=5809802,0;5;x=4575958,25:y=5809611,0;11914;12105;1277;191;
cep0_carrier;2;cepVehicleType0;0_v1;5;x=4575958,25:y=5809611,0;3;x=4574933,5:y=5809507,75;12285;12285;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;3;x=4574933,5:y=5809507,75;9161;x=4575703,75:y=5812186,5;12405;14498;14583,10702;2093;
cep0_carrier;2;cepVehicleType0;0_v1;9161;x=4575703,75:y=5812186,5;153;x=4576928,0:y=5813292,5;14618;14866;1655;248;
cep0_carrier;2;cepVehicleType0;0_v1;153;x=4576928,0:y=5813292,5;25;x=4577683,5:y=5813905,0;14986;15234;1655;248;
cep0_carrier;2;cepVehicleType0;0_v1;25;x=4577683,5:y=5813905,0;25;x=4577683,5:y=5813905,0;15354;15354;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;25;x=4577683,5:y=5813905,0;25;x=4577683,5:y=5813905,0;15474;15474;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;25;x=4577683,5:y=5813905,0;33;x=4578511,0:y=5814679,5;15654;15666;86,02325267;12;
cep0_carrier;2;cepVehicleType0;0_v1;33;x=4578511,0:y=5814679,5;131;x=4579527,0:y=5815823,5;15786;15786;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;131;x=4579527,0:y=5815823,5;34;x=4578511,0:y=5814679,5;15966;16162;1310,009542;196;
cep0_carrier;2;cepVehicleType0;0_v1;34;x=4578511,0:y=5814679,5;34;x=4578511,0:y=5814679,5;16282;16282;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;34;x=4578511,0:y=5814679,5;34;x=4578511,0:y=5814679,5;16402;16402;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;34;x=4578511,0:y=5814679,5;34;x=4578511,0:y=5814679,5;16522;16522;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;34;x=4578511,0:y=5814679,5;41;x=4578049,5:y=5818473,5;16642;17170;3526,400791;528;
cep0_carrier;2;cepVehicleType0;0_v1;41;x=4578049,5:y=5818473,5;21716;x=4575400,0:y=5816192,25;17290;18088;5320,064429;798;
cep0_carrier;2;cepVehicleType0;0_v1;21716;x=4575400,0:y=5816192,25;9145;x=4573642,25:y=5809094,75;18268;19756;11607,3784;1488;
cep0_carrier;2;cepVehicleType0;0_v1;9145;x=4573642,25:y=5809094,75;4;x=4574933,5:y=5809507,75;19876;19932;378;56;
cep0_carrier;2;cepVehicleType0;0_v1;4;x=4574933,5:y=5809507,75;7;x=4576964,5:y=5809802,0;20052;20167;773;115;
cep0_carrier;2;cepVehicleType0;0_v1;7;x=4576964,5:y=5809802,0;7;x=4576964,5:y=5809802,0;20287;20287;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;7;x=4576964,5:y=5809802,0;8;x=4576964,5:y=5809802,0;20407;20407;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;8;x=4576964,5:y=5809802,0;27;x=4578662,0:y=5810158,0;20587;20873;1908;286;
