ID;X_GK4;Y_GK4
591;4594283,015;5822079,866
592;4594299,247;5821981,36
593;4594349,859;5821527,014
594;4594380,265;5822163,475
595;4594367,18;5822386,348
596;4594295,11;5822070,821
597;4594365,235;5822740,622
598;4594307,691;5822688,469
599;4594361,385;5822052,939
600;4594301,801;5821986,182
601;4594334,656;5820583,671
602;4594434,034;5820594,809
603;4594332,094;5820523,178
604;4594306,714;5822502,963
606;4594376,602;5821893,832
607;4594330,62;5821747,105
608;4594318,138;5821846,322
609;4594361,163;5822381,78
610;4594334,53;5821683,493
612;4594340,949;5821588,092
613;4594349,662;5822594,012
614;4594358,165;5821582,463
615;4594342,154;5821680,934
616;4594417,466;5821711,941
617;4594347,927;5820955,586
618;4594384,184;5820887,449
619;4594483,492;5820899,189
620;4594414,542;5820489,529
621;4594380,358;5820446,259
622;4594359,89;5821506,652
623;4594401,952;5821530,708
624;4594375,077;5822562,398
625;4594390,672;5820788,058
626;4594374,089;5820711,821
627;4594418,15;5821458,146
628;4594371,508;5821401,473
629;4594380,96;5820991,944
630;4594434,428;5822308,457
631;4594402,808;5822400,777
632;4594493,871;5822442,102
633;4594444,15;5821362,366
634;4594377,106;5821352,587
635;4594407,74;5820691,078
636;4594444,588;5822535,899
637;4594390,144;5821186,565
640;4594469,964;5820993,904
641;4594442,57;5823089,576
642;4594421,7;5821252,21
644;4594454,146;5820799,717
645;4594429,002;5820788,389
646;4594407,719;5821188,474
647;4594507,172;5821198,933
648;4594407,333;5821107,853
649;4594402,599;5822212,196
651;4594409,276;5822747,225
652;4594465,592;5822664,591
653;4594432,883;5821900,831
655;4594486,36;5821097,94
657;4594445,378;5822985,477
658;4594443,638;5822937,593
659;4594427,502;5823145,887
660;4594421,638;5822119,439
661;4594451,617;5822163,314
662;4594448,922;5821736,569
663;4594413,848;5821829,99
664;4594435,025;5822583,338
665;4594426,037;5822783,444
670;4594462,946;5822060,947
671;4594458,764;5820396,111
672;4594487,325;5820348,917
673;4594598,077;5822364,26
674;4594502,525;5822334,77
675;4594610,16;5822241,872
676;4594516,638;5822277,28
677;4594456,018;5821639,251
678;4594461,566;5821840,173
679;4594521,23;5823071,964
680;4594427,541;5822901,347
681;4594470,393;5822904,583
682;4594533,364;5822826,9
683;4594541,504;5822815,338
684;4594565,815;5820610,405
685;4594471,394;5820532,689
686;4594570,725;5821679,888
687;4594471,46;5821668,44
688;4594482,047;5821589,419
689;4594526,315;5820504,007
690;4594485,819;5820450,331
691;4594497,644;5823082,127
693;4594488,848;5821507,759
694;4594536,906;5822660,826
695;4594496,199;5821905,737
696;4594533,042;5821851,625
697;4594520,676;5823000,135
698;4594531,5;5820404,605
699;4594492,862;5820391,981
700;4594493,467;5822114,763
701;4594503,639;5821383,218
702;4594504,595;5820706,981
703;4594529,455;5823103,911
704;4594560,603;5822162,33
705;4594502,203;5822610,868
706;4594582,338;5823559,85
708;4594586,645;5820312,769
709;4594545,612;5820706,718
712;4594535,036;5821342,315
713;4594634,184;5821355,354
714;4594507,853;5821329,208
715;4594527,157;5823082,595
716;4594605,034;5821211,242
717;4594529,521;5821178,218
718;4594598,072;5822491,816
719;4594495,76;5822505,758
720;4594584,657;5822543,758
721;4594594,696;5822589,901
722;4594543,702;5822939,951
723;4594555,708;5821106,44
724;4594655,006;5821118,269
725;4594550,144;5821020,549
726;4594558,665;5820950,035
727;4594672,992;5823040,36
728;4594583,582;5823081,803
729;4594598,112;5822812,938
730;4594596,589;5822748,265
731;4594659,201;5822670,292
732;4594561,294;5821949,582
733;4594581,716;5822046,56
734;4594568,184;5821831,769
737;4594565,65;5820892,211
738;4594588,583;5823013,362
739;4594571,991;5823007,989
740;4594569,77;5820570,247
742;4594579,747;5820772,782
743;4594609,803;5820809,156
745;4594593,974;5820513,189
746;4594584,94;5821707,348
747;4594647,798;5820715,64
748;4594667,277;5820702,933
749;4594591,027;5820673,609
750;4594744,338;5821741,207
751;4594660,501;5821691,872
752;4594593,242;5821654,377
755;4594610,333;5822138,691
756;4594651,649;5820641,974
757;4594603,303;5820575,025
760;4594602,319;5822587,496
766;4594620,309;5820436,152
767;4594613,804;5823005,213
768;4594712,74;5822873,468
769;4594624,321;5822826,757
770;4594628,963;5822199,395
771;4594622,576;5821280,943
773;4594628,838;5820360,406
774;4594650,401;5821217,094
776;4594655,644;5822519,058
777;4594661,622;5822437,867
778;4594647,088;5820817,45
779;4594696,618;5823650,344
780;4594690,781;5823529,79
781;4594639,956;5823615,901
782;4594745,043;5822190,15
783;4594651,679;5822225,968
785;4594686,441;5823233,588
786;4594777,798;5823274,256
787;4594688,348;5823190,805
788;4594766,281;5823128,145
789;4594668,154;5821137,434
790;4594661,723;5822317,006
791;4594666,241;5821553,864
793;4594724,293;5821570,154
794;4594683,328;5820801,821
795;4594740,73;5821239,087
796;4594695,711;5821221,298
797;4594791,166;5821247,446
798;4594676,618;5821066,509
801;4594683,048;5821367,96
803;4594868,207;5822453,135
804;4594773,47;5822421,122
805;4594683,616;5821021,042
806;4594690,004;5820953,541
807;4594763,184;5820932,042
808;4594862,054;5820934,918
809;4594701,816;5820853,858
